job_id,run_id,recipe_id,start,end,duration_h,production_time_h,idle_time_h,production_ratio,transition_count,exits_from_prod_state,warnings,errors,all_warning_names,all_error_names,state_0_time_s,state_1_time_s,state_2_time_s,state_3_time_s,state_4_time_s,state_5_time_s,state4_Active_ActProcVal_All_MainDrive_ActSpeed_p50,state4_Active_ActProcVal_All_MainDrive_ActSpeed_max,state4_Active_ActProcVal_All_MainDrive_ActTorquePercent_p50,state4_Active_ActProcVal_All_MainDrive_ActTorquePercent_max,state4_Active_ActProcVal_All_MainDrive_ActThroughput_p50,state4_Active_ActProcVal_All_MainDrive_ActThroughput_max,state4_Active_ActProcVal_All_MainDrive_ActPower_p50,state4_Active_ActProcVal_All_MainDrive_ActPower_max,state4_Active_ActProcVal_All_MainDrive_ActSME_p50,state4_Active_ActProcVal_All_MainDrive_ActSME_max,state4_Active_ActProcVal_All_Endplate_ActPressure_p50,state4_Active_ActProcVal_All_Endplate_ActPressure_max
455da03b-a6a4-4f92-a874-dc44e968f89c,11,Recipe_A,2025-12-16T09:27:54.801963,2025-12-16T10:17:54.801963,0.8333,0.1014,0.1586,0.1217,136,23,28,9,Warning_9|Warning_5|Warning_3|Warning_7|Warning_2|Warning_1|Warning_10|Warning_6|Warning_8|Warning_4,Error_3|Error_7|Error_2|Error_10|Error_6|Error_1,571.0,505.0,370.0,517.0,365.0,672.0,100.12,114.26,49.97,64.52,49.87,63.65,49.8,62.65,50.63,65.38,50.7,64.95
455da03b-a6a4-4f92-a874-dc44e968f89c,12,Recipe_A,2025-12-16T11:10:54.801963,2025-12-16T13:00:54.801963,1.8333,0.2878,0.2894,0.157,266,45,51,18,Warning_8|Warning_9|Warning_3|Warning_5|Warning_2|Warning_6|Warning_7|Warning_10|Warning_1|Warning_4,Error_7|Error_9|Error_4|Error_5|Error_8|Error_2|Error_3,1042.0,1512.0,1006.0,1307.0,1036.0,697.0,99.78,114.89,50.02,66.81,50.28,64.14,49.79,63.8,49.7,65.32,50.12,64.77
fcc53f54-226c-47e0-b071-66e7389d995b,13,Recipe_C,2025-12-16T13:32:54.801963,2025-12-16T14:23:54.801963,0.85,0.1064,0.1275,0.1252,141,18,27,5,Warning_10|Warning_2|Warning_8|Warning_4|Warning_3|Warning_6|Warning_5|Warning_9|Warning_1,Error_3|Error_5|Error_4|Error_2,459.0,483.0,527.0,497.0,383.0,711.0,99.68,117.6,49.93,64.22,50.01,65.66,50.01,62.88,50.0,64.91,49.63,64.71
fcc53f54-226c-47e0-b071-66e7389d995b,14,Recipe_C,2025-12-16T15:16:54.801963,2025-12-16T16:49:54.801963,1.55,0.2286,0.2242,0.1475,219,36,48,6,Warning_2|Warning_6|Warning_3|Warning_10|Warning_7|Warning_5|Warning_1|Warning_9|Warning_4|Warning_8,Error_9|Error_2|Error_10|Error_4,807.0,799.0,943.0,1351.0,823.0,857.0,99.92,116.55,50.05,66.0,50.25,66.13,49.46,68.64,50.03,66.44,50.02,70.16
fcc53f54-226c-47e0-b071-66e7389d995b,15,Recipe_C,2025-12-16T17:36:54.801963,2025-12-16T18:14:54.801963,0.6333,0.0753,0.1333,0.1189,97,11,25,2,Warning_10|Warning_8|Warning_6|Warning_1|Warning_4|Warning_5|Warning_2|Warning_7|Warning_3,Error_4,480.0,366.0,251.0,369.0,271.0,543.0,99.86,115.63,50.02,64.16,49.68,65.4,49.81,63.54,49.54,64.2,49.7,63.74
75b6e8da-555f-4ded-add1-49e62b6a5ba4,16,Recipe_C,2025-12-16T18:35:54.801963,2025-12-16T19:41:54.801963,1.1,0.1733,0.1686,0.1576,183,25,33,7,Warning_3|Warning_10|Warning_2|Warning_9|Warning_6|Warning_7|Warning_8|Warning_1|Warning_4,Error_4|Error_3|Error_5|Error_2|Error_8,607.0,892.0,626.0,716.0,624.0,495.0,99.78,115.84,49.69,62.85,49.99,66.42,50.37,66.14,49.61,66.51,50.05,62.52
75b6e8da-555f-4ded-add1-49e62b6a5ba4,17,Recipe_C,2025-12-16T20:08:54.801963,2025-12-16T21:43:54.801963,1.5833,0.225,0.3089,0.1421,243,40,44,15,Warning_1|Warning_3|Warning_7|Warning_6|Warning_8|Warning_10|Warning_2|Warning_9|Warning_4|Warning_5,Error_9|Error_5|Error_4|Error_10|Error_7|Error_6|Error_1|Error_2,1112.0,966.0,1053.0,902.0,810.0,857.0,100.35,114.66,49.82,63.98,50.03,66.16,49.76,68.34,50.28,67.07,50.24,66.33
75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,Recipe_C,2025-12-16T22:32:54.801963,2025-12-17T00:23:54.801963,1.85,0.3397,0.3194,0.1836,275,49,50,12,Warning_10|Warning_6|Warning_5|Warning_3|Warning_7|Warning_4|Warning_8|Warning_9|Warning_2|Warning_1,Error_2|Error_3|Error_9|Error_7|Error_6|Error_4|Error_1,1150.0,1050.0,1069.0,1233.0,1223.0,935.0,100.17,115.44,49.71,65.14,50.08,66.32,49.8,67.48,49.99,66.75,49.91,68.22
ca4e2b3e-360b-4bf9-859c-5118db1a7fff,19,Recipe_B,2025-12-17T00:53:54.801963,2025-12-17T01:37:54.801963,0.7333,0.1453,0.1017,0.1981,121,22,14,3,Warning_1|Warning_5|Warning_2|Warning_3|Warning_4|Warning_10|Warning_7|Warning_6|Warning_8,Error_3|Error_4|Error_5,366.0,511.0,451.0,455.0,523.0,334.0,99.76,116.41,50.2,64.5,50.26,64.46,50.41,65.17,50.16,65.14,49.91,67.42
ca4e2b3e-360b-4bf9-859c-5118db1a7fff,20,Recipe_B,2025-12-17T02:06:54.801963,2025-12-17T04:01:54.801963,1.9167,0.4147,0.2642,0.2164,274,52,54,16,Warning_8|Warning_3|Warning_2|Warning_7|Warning_5|Warning_9|Warning_10|Warning_6|Warning_1|Warning_4,Error_5|Error_6|Error_4|Error_1|Error_10|Error_8|Error_2|Error_3|Error_7,951.0,824.0,1108.0,1066.0,1493.0,1458.0,100.22,116.07,50.07,68.2,50.18,66.57,49.84,68.15,50.05,68.84,49.79,67.9
ca4e2b3e-360b-4bf9-859c-5118db1a7fff,21,Recipe_B,2025-12-17T04:32:54.801963,2025-12-17T05:23:54.801963,0.85,0.0867,0.1889,0.102,128,16,31,9,Warning_7|Warning_6|Warning_8|Warning_4|Warning_10|Warning_9|Warning_3|Warning_1|Warning_5|Warning_2,Error_10|Error_1|Error_7|Error_4|Error_2|Error_8|Error_9,680.0,533.0,574.0,566.0,312.0,395.0,99.35,114.7,50.2,63.88,50.33,65.58,49.87,66.2,49.67,64.16,50.1,65.23
35e05bb6-5e38-47ea-b7de-f33363596df3,22,Recipe_A,2025-12-17T05:44:54.801963,2025-12-17T07:37:54.801963,1.8833,0.3128,0.2675,0.1661,285,47,51,15,Warning_5|Warning_8|Warning_1|Warning_2|Warning_6|Warning_9|Warning_7|Warning_10|Warning_4|Warning_3,Error_3|Error_8|Error_4|Error_1|Error_10|Error_7|Error_2,963.0,1109.0,1133.0,1255.0,1126.0,1194.0,100.1,116.07,50.18,68.9,50.12,67.45,49.91,66.81,49.97,66.01,50.14,64.97
35e05bb6-5e38-47ea-b7de-f33363596df3,23,Recipe_A,2025-12-17T08:02:54.801963,2025-12-17T09:02:54.801963,1.0,0.1728,0.1886,0.1728,164,28,24,7,Warning_3|Warning_7|Warning_9|Warning_2|Warning_4|Warning_10|Warning_8|Warning_5|Warning_1|Warning_6,Error_2|Error_7|Error_1|Error_8|Error_9|Error_4,679.0,524.0,487.0,578.0,622.0,710.0,99.85,112.31,50.26,64.23,50.23,65.2,49.96,67.52,49.88,65.06,50.04,64.19
35e05bb6-5e38-47ea-b7de-f33363596df3,24,Recipe_A,2025-12-17T09:51:54.801963,2025-12-17T10:30:54.801963,0.65,0.1242,0.0897,0.191,84,14,24,5,Warning_2|Warning_1|Warning_6|Warning_5|Warning_7|Warning_4|Warning_8|Warning_3|Warning_9,Error_5|Error_7|Error_4,323.0,475.0,500.0,224.0,447.0,371.0,100.13,115.44,49.67,64.16,50.1,66.01,49.88,63.18,49.98,64.02,50.0,62.32
f913c14e-7ea5-4990-86bd-360dd01a2e8a,25,Recipe_A,2025-12-17T11:22:54.801963,2025-12-17T11:54:54.801963,0.5333,0.0753,0.0694,0.1411,76,12,19,4,Warning_3|Warning_2|Warning_4|Warning_7|Warning_1|Warning_6|Warning_10,Error_5|Error_1|Error_8|Error_10,250.0,324.0,437.0,362.0,271.0,276.0,100.33,113.25,49.93,61.8,49.63,64.34,49.57,63.21,49.92,61.92,49.43,64.14
f913c14e-7ea5-4990-86bd-360dd01a2e8a,26,Recipe_A,2025-12-17T12:44:54.801963,2025-12-17T14:00:54.801963,1.2667,0.2731,0.2511,0.2156,184,35,32,11,Warning_10|Warning_9|Warning_1|Warning_5|Warning_6|Warning_2|Warning_7|Warning_4|Warning_8|Warning_3,Error_4|Error_7|Error_6|Error_10|Error_3|Error_5|Error_1,904.0,646.0,774.0,572.0,983.0,681.0,100.01,114.56,50.08,65.36,49.9,68.63,50.2,64.68,50.07,65.14,49.74,65.94
f913c14e-7ea5-4990-86bd-360dd01a2e8a,27,Recipe_A,2025-12-17T14:18:54.801963,2025-12-17T15:45:54.801963,1.45,0.2883,0.2044,0.1989,214,38,50,8,Warning_10|Warning_2|Warning_7|Warning_1|Warning_4|Warning_9|Warning_3|Warning_6|Warning_5|Warning_8,Error_7|Error_1|Error_8|Error_6,736.0,803.0,718.0,841.0,1038.0,1084.0,99.68,116.11,50.0,65.24,50.38,67.7,50.28,63.59,50.15,68.22,49.98,65.19
6a2bc62c-ce95-4153-9d9c-2d8c87b2ba8e,28,Recipe_C,2025-12-17T16:44:54.801963,2025-12-17T17:17:54.801963,0.55,0.1269,0.0558,0.2308,75,13,14,6,Warning_7|Warning_2|Warning_9|Warning_6|Warning_10|Warning_4|Warning_8,Error_5|Error_2|Error_7|Error_9,201.0,300.0,435.0,287.0,457.0,300.0,99.82,116.75,50.03,63.56,49.7,63.95,49.94,66.77,49.85,66.11,50.21,63.84
6a2bc62c-ce95-4153-9d9c-2d8c87b2ba8e,29,Recipe_C,2025-12-17T17:38:54.801963,2025-12-17T18:49:54.801963,1.1833,0.1289,0.1925,0.1089,156,22,32,10,Warning_8|Warning_3|Warning_9|Warning_7|Warning_2|Warning_5|Warning_10|Warning_4|Warning_6|Warning_1,Error_1|Error_6|Error_8|Error_9|Error_5|Error_4|Error_10,693.0,550.0,955.0,761.0,464.0,837.0,100.45,114.79,50.04,65.57,50.17,64.89,49.54,63.48,50.14,63.17,49.91,67.83
6a2bc62c-ce95-4153-9d9c-2d8c87b2ba8e,30,Recipe_C,2025-12-17T19:14:54.801963,2025-12-17T19:52:54.801963,0.6333,0.1156,0.1028,0.1825,106,20,28,1,Warning_6|Warning_5|Warning_3|Warning_10|Warning_2|Warning_7|Warning_1|Warning_8|Warning_4|Warning_9,Error_2,370.0,356.0,615.0,267.0,416.0,256.0,99.99,115.5,49.91,63.23,50.25,69.28,49.64,66.49,49.54,63.65,49.78,66.6
